user_id,song_id,weight
703680,155818,24.374333683360632
801034,674816,0.0
975852,181501,473.785760671035
563786,589532,3325.382470560101
680731,173540,8347.415011315074
580347,467336,0.0
510457,683627,10991.54891139904
427619,139708,0.0
582638,111351,1654.7187179722118
677984,222168,0.0
763494,116583,451.8581690062727
565110,776827,5049.290756904065
229032,576192,428.24636651933065
789430,858686,0.0
792900,697735,750.9953918535354
806119,720021,2.2620639414268076
185660,358492,3783.4137780871447
703102,892846,0.0
886976,359964,123.60059888165638
228705,744225,1401.454205790285
685281,168036,0.0
457281,676985,9253.172586316934
687507,79564,420.49453680606075
976288,853711,0.0
834376,660710,0.0
652344,412048,1171.1940925169686
567610,695522,0.0
757732,561824,717.9909278529344
880154,289302,8173.885318716452
87420,368515,444.8864277684843
656073,500298,0.0
233136,230551,0.0
23425,168259,1145.2689528744017
267531,712748,3205.266430400866
500785,600576,738.804529623858
464862,681692,0.0
175764,731273,0.0
485906,682351,0.0
564202,830738,704.1917052457125
39784,432562,8.440702095496503
708871,945506,288.5745705344585
960886,124092,0.0
617317,481574,10297.8159993881
432054,232504,787.7575260687036
888088,178147,0.0
827484,175115,8267.82604075421
101403,810856,918.8655653833772
198599,930630,4205.396306448194
184614,885751,0.0
168685,991132,3478.7705804908987
360936,181501,2.8081225162507883
594395,467336,1509.6685014916882
960230,944806,1713.4250963169561
983077,453204,7.573303283845945
914527,19394,732.2786401502756
134594,361613,0.0
257737,322436,185.23365214100173
514611,742056,408.3267071875744
90287,46897,89.29510321525072
960206,155818,0.0
196165,323222,0.0
847891,545918,0.0
927322,634974,17752.220753289217
728367,610392,0.0
138760,354754,1545.339073926161
383577,43041,42.7335986838363
756469,203088,604.2663946054464
263144,419839,2187.236091372849
688290,810856,3338.0456914199267
229999,173540,1145.6421257235318
873523,71619,630.9098918344326
826268,477242,0.0
196767,405050,2923.8528655714126
956139,429815,0.0
853921,247498,407.56396010445275
642482,209007,753.5807434018642
192054,947232,323.53676165558437
991436,950081,2317.6046648240313
402936,359220,0.0
73483,343176,0.0
665395,696504,259.1668800433983
94128,191805,5931.442640009259
733443,784640,0.0
145024,149616,8399.031765496764
87420,357060,192.07741796021915
939428,443963,11980.319740684688
845022,172970,289.35727463286236
73989,442208,14729.951502243504
748236,43055,2639.019816290835
961715,780093,101.78320950154458
789805,753436,362.9783828474211
321379,361613,529.6202761220811
298171,137151,291.85523115006913
473629,964047,15709.564615478113
961018,278805,0.0
922821,845427,1099.4397643331188
746758,543648,996.1681670049954
199796,923116,0.0
567276,361613,38487.186270247075
787431,76576,342.7110112115442
809388,421331,1148.4210230709293
956839,530632,2161.7198626796476
645071,272457,98.58845685052091
497095,958530,0.0
303215,325011,0.0
616654,166845,1592.6507319830037
402769,429117,243.52663617549848
387838,789786,0.0
280445,278805,0.0
921397,845427,84.07389667404114
5545,138995,0.0
269328,843807,20.04142924140649
815960,358032,0.0
